image,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64
abk_csk_vs_mi_1.jpg,0,0,0,0,0,0,0,0,0,0,1,0,6,6,6,0,0,1,1,0,6,6,0,0,0,1,1,6,6,6,0,0,0,1,1,6,6,6,0,0,0,1,1,1,6,6,0,0,0,1,0,6,6,6,0,0,0,0,0,0,0,0,0,0
abk_csk_vs_mi_2.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,6,0,0,0,0,1,0,6,0,0,0,0,0,1,1,6,0,0,0,0,0,1,0,6,0,0
abk_csk_vs_mi_3.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,6,0,0,0,1,1,1,0,6,6,0,1,1,1,1,0,6,6,0,1,1,1,1,0,6,6,0,1,0,1,1,0,6,6,0,0,0,0,0,0,0,0,0
abk_csk_vs_mi_4.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,6,0,0,1,1,6,6,0,6,6,0,1,1,6,6,6,6,6,0,1,1,1,6,6,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0
abk_DCvsRR_image_0.jpg,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
abk_DCvsRR_image_1.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abk_DCvsRR_image_10.jpg,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abk_DCvsRR_image_100.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
abk_DCvsRR_image_101.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,8,0,8,8,0,0,0,0,8,8,8,8,0,0,0,8,0,0,8,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abk_GTvsPBKS_image_99.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
